code,cityName,lon,lat,hgt,area,pop,forest,shrubland,grassland,cropland,builtup,bares,snow,water,wetland,mangroves,moss
350500,泉州市,118.59000,24.91000,40.11000,1.00000,8918486,0.65097,0.00008,0.07966,0.05508,0.10029,0.07700,0.00000,0.03663,0.00021,0.00010,0.00000
350600,漳州市,117.66000,24.51000,35.12000,1.12000,5050742,0.72123,0.00021,0.02498,0.04112,0.05517,0.06031,0.00000,0.09621,0.00053,0.00025,0.00000
350700,南平市,118.18000,26.64000,364.58000,2.40000,2676755,0.86722,0.00018,0.03897,0.05254,0.01295,0.01936,0.00000,0.00877,0.00000,0.00000,0.00000
350800,龙岩市,117.03000,25.09000,558.21000,1.71000,2720061,0.86747,0.00006,0.03793,0.03997,0.01831,0.03021,0.00000,0.00604,0.00000,0.00000,0.00000
350900,宁德市,119.53000,26.66000,261.40000,1.19000,3143886,0.77513,0.00008,0.07886,0.03298,0.02232,0.03387,0.00000,0.05663,0.00008,0.00005,0.00000
360100,南昌市,115.89000,28.68000,21.91000,0.66000,6251524,0.18697,0.00079,0.01487,0.44178,0.08642,0.07971,0.00000,0.13081,0.05865,0.00000,0.00000
360200,景德镇市,117.21000,29.29000,106.30000,0.49000,1617420,0.74901,0.00012,0.00958,0.14692,0.03576,0.04202,0.00000,0.01554,0.00106,0.00000,0.00000
360300,萍乡市,113.85000,27.62000,159.61000,0.35000,1803553,0.69096,0.00064,0.03311,0.14975,0.07140,0.04970,0.00000,0.00442,0.00001,0.00000,0.00000
360400,九江市,115.99000,29.71000,50.94000,1.77000,4594389,0.61904,0.00064,0.01186,0.16624,0.03275,0.04539,0.00000,0.09811,0.02597,0.00000,0.00000
360500,新余市,114.93000,27.81000,76.46000,0.29000,1201009,0.54830,0.00038,0.00801,0.28314,0.05291,0.08110,0.00000,0.02603,0.00013,0.00000,0.00000
360600,鹰潭市,117.03000,28.24000,44.21000,0.33000,1152765,0.56824,0.00037,0.01708,0.26680,0.03776,0.08364,0.00000,0.02586,0.00025,0.00000,0.00000
360700,赣州市,114.94000,25.85000,172.94000,3.54000,8962289,0.73577,0.00018,0.09308,0.08685,0.02462,0.05041,0.00000,0.00908,0.00001,0.00000,0.00000
360800,吉安市,114.99000,27.11000,78.66000,2.30000,4462487,0.69590,0.00033,0.02489,0.18662,0.02410,0.05089,0.00000,0.01718,0.00008,0.00000,0.00000
360900,宜春市,114.39000,27.80000,132.07000,1.72000,5000882,0.60518,0.00015,0.01008,0.26332,0.03739,0.06414,0.00000,0.01942,0.00031,0.00000,0.00000
361000,抚州市,116.36000,27.98000,42.59000,1.72000,3609677,0.70520,0.00044,0.02461,0.18419,0.02441,0.04451,0.00000,0.01632,0.00032,0.00000,0.00000
361100,上饶市,117.97000,28.44000,99.60000,2.10000,6483745,0.63820,0.00023,0.01412,0.20163,0.03316,0.04534,0.00000,0.04249,0.02483,0.00000,0.00000
370100,济南市,117.00000,36.68000,68.82000,1.03000,9196202,0.11705,0.00061,0.12880,0.52662,0.15482,0.05933,0.00000,0.01180,0.00098,0.00000,0.00000
370200,青岛市,120.36000,36.08000,14.28000,1.11000,10065014,0.07541,0.00204,0.02618,0.60731,0.13760,0.10519,0.00000,0.04556,0.00070,0.00000,0.00000
370300,淄博市,118.05000,36.81000,54.80000,0.60000,4700824,0.12986,0.00027,0.18162,0.46035,0.16430,0.05568,0.00000,0.00775,0.00017,0.00000,0.00000
370400,枣庄市,117.56000,34.86000,103.61000,0.45000,3852568,0.07484,0.00010,0.07116,0.61797,0.14131,0.08580,0.00000,0.00852,0.00030,0.00000,0.00000
370500,东营市,118.66000,37.43000,2.92000,0.73000,2189514,0.00228,0.00171,0.00213,0.46962,0.11065,0.14598,0.00000,0.22952,0.03811,0.00000,0.00000
370600,烟台市,121.39000,37.54000,23.15000,1.40000,7094039,0.14274,0.00073,0.08866,0.53556,0.07108,0.10917,0.00000,0.05137,0.00068,0.00000,0.00000
370700,潍坊市,119.11000,36.71000,33.63000,1.60000,8853135,0.07044,0.00269,0.04947,0.58184,0.15159,0.08070,0.00000,0.06147,0.00180,0.00000,0.00000
370800,济宁市,116.59000,35.42000,37.46000,1.11000,8350384,0.05455,0.00014,0.02246,0.66540,0.12016,0.07517,0.00000,0.05302,0.00912,0.00000,0.00000
